time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-26T16:07:26.064Z,31.68803839,-104.4049837,6.080151367,3,ml,29,44,0.039354897,0.2,tx,tx2022xeij,2022-11-26T16:36:51.040Z,"54 km S of Whites City, New Mexico",earthquake,0.76205491,0.672435449,0.1,18,reviewed,tx,tx
2022-11-26T14:37:18.438Z,38.001,-118.2323,4,2.6,ml,28,56.8,0.255,0.3335,nn,nn00852064,2022-11-26T17:00:13.040Z,"29 km NE of Benton, California",earthquake,,0.9,0.46,11,automatic,nn,nn
2022-11-26T10:01:39.720Z,33.096,-117.9731667,1.96,2.51,ml,20,213,0.3849,0.16,ci,ci40381176,2022-11-26T20:05:38.277Z,"43km SE of Avalon, CA",earthquake,0.76,3.2,0.114,26,automatic,ci,ci
2022-11-26T04:12:05.625Z,31.667,-104.4181,6.722,2.5,ml,31,107,0.07,0.34,us,us7000ishh,2022-11-26T05:04:22.040Z,,earthquake,1.29,4.505,0.069,52,reviewed,us,us
2022-11-26T03:35:34.441Z,31.56777305,-104.0986106,6.118713379,3,ml,26,63,0.025438094,0.2,tx,tx2022xdjo,2022-11-26T03:49:42.914Z,"40 km NW of Toyah, Texas",earthquake,0.640163946,0.482074565,0.1,14,reviewed,tx,tx
2022-11-26T03:15:51.420Z,36.7043343,-121.3336639,2.49,2.72,md,39,63,0.01078,0.11,nc,nc73811581,2022-11-26T04:36:14.166Z,"10km S of Tres Pinos, CA",earthquake,0.23,0.47,0.19,33,automatic,nc,nc
2022-11-26T01:16:43.120Z,36.6430016,-121.2636642,6.53,2.77,md,45,66,0.05208,0.1,nc,nc73811561,2022-11-26T21:34:32.462Z,"16km NW of Pinnacles, CA",earthquake,0.19,0.56,0.14,62,automatic,nc,nc
2022-11-25T23:34:04.929Z,48.0309,-69.6728,18.088,2.5,ml,10,138,0.653,0.19,us,us7000isip,2022-11-26T08:04:29.040Z,"18 km NW of Cacouna, Canada",earthquake,1.88,8.4,0.081,20,reviewed,us,us
2022-11-25T16:37:55.242Z,35.28646469,-98.00696564,5,3.21,ml,83,38.06674194,0.088531479,0.820183163,ok,ok2022xcny,2022-11-25T19:54:08.373Z,Oklahoma,earthquake,1.403569791,,,61,automatic,ok,ok
2022-11-25T14:17:37.967Z,31.6665,-104.4627,19.682,3.2,ml,20,119,0.033,0.79,us,us7000isba,2022-11-25T14:58:52.040Z,"57 km S of Whites City, New Mexico",earthquake,2.14,6.826,0.085,46,reviewed,us,us
