Latitude,magnitude
40.4771667,2.88
35.8995,3.29
38.7745,2.67
38.1096667,2.68
31.3965,3.1
40.2916667,2.51
38.1694,2.5
31.75364197,2.6
38.162,3
31.7507299,2.6
32.2869873,3.2
31.61739432,2.7
36.8198333,2.63
31.65650967,3.2
35.284,3.92
35.2811667,2.95
31.62382095,2.6
44.9861,2.5
44.9806,2.6
31.65466829,3.6
31.65191394,3.5
31.66108063,3.1
40.2893333,2.65
34.177,2.53
31.62060196,3.2
37.3287,2.7
31.65512786,3.5
31.65840315,2.8
37.4413333,2.62
31.65194162,3
31.6634493,2.5
40.2761667,2.84
31.68726376,3.6
28.49212646,2.6
37.6643333,2.6
41.6863,2.8
37.4366667,2.61
41.094,3.6
31.6623652,3.3
34.185,2.57
43.1999,2.6
38.1764,2.6
38.1677,4.2
38.1688,2.8
40.2875,2.79
40.4543333,2.57
31.65286383,2.8
37.3211,2.5
31.67606494,2.9
44.3184,2.6
37.3338333,4.75
31.60185969,2.6
40.4511667,2.82
44.7893333,2.52
40.3846667,4.58
40.3756667,2.75
38.17,3.4
31.67129757,2.8
40.3765,2.79
31.6431667,2.74
31.67467916,2.8
37.3018,2.5
40.3688333,2.66
44.9889,2.6
40.478,3.03
37.3363333,3.01
38.6447,2.5
44.3121,2.5
32.9236667,2.63
44.4488,2.8
38.1649,2.9
39.6896667,2.83
44.2514,2.6
31.65515556,2.5
34.4365,3.56
38.8345,2.59
39.69,2.86
33.373,3.21
24.7518,4.7
36.2871667,2.52
38.1755,2.5
31.67119017,2.7
44.2756,2.6
41.1895,2.76
38.1763,3.2
47.652,3.2
38.1757,3
31.66672286,2.6
42.6236,2.7
40.9622,3.7
38.6563,3.1
40.3688333,2.71
35.6485,2.61
31.67696635,3.7
31.67861551,2.5
31.67746835,2.6
31.72165965,3.9
31.72078072,2.7
33.8083333,2.83
39.6356667,2.66
31.69028671,2.5
24.7597,4.5
33.8123333,2.52
40.3055,2.59
45.0191,2.6
31.8653333,2.58
24.8507,4.3
40.3076667,2.58
33.3611667,2.65
31.4848,3
32.9341667,2.54
40.4398333,2.61
33.4688333,3.86
33.4738333,2.86
48.9851,3
33.3718333,2.75
40.0278333,2.75
38.8395,2.59
32.7728333,2.85
44.3362,2.6
31.7205455,2.8
38.6406,2.7
31.66194896,2.6
31.5731667,3.22
31.2196667,3.03
38.6657,3.1
40.38,2.69
34.9595,2.54
31.61743981,2.6
35.50323486,2.5
31.66963155,3
31.6137437,3
41.1641,2.9
31.6063971,2.7
32.4055,2.75
43.7662,2.5
40.434,2.72
34.4386667,3.19
40.2868333,2.88
40.3046667,2.77
34.5106667,2.65
33.8255,3.45
32.44445801,3
31.59490639,2.8
31.64010963,2.7
40.3806667,2.71
31.67129565,2.9
41.4289,3.3
45.0678,2.7
48.3232,2.5
31.18278101,3.1
33.7298333,2.97
31.19653858,2.7
35.5243333,2.53
44.3507,2.5
38.6812,2.5
38.1827,3.4
38.1849,2.5
31.71731302,2.6
37.3301667,2.59
31.61722787,2.5
44.4485,2.8
38.5373333,2.51
34.9676667,2.94
40.2981667,2.64
31.67671232,3.3
36.70066667,2.67
38.7623333,2.59
26.7675,5.3
26.6934,4.4
32.8625,3.01
38.2571,4.3
38.2505,2.9
38.545,2.58
40.3091667,2.64
40.299,2.68
31.68373034,2.8
36.6666667,3.07
36.6675,2.69
31.68110245,3.2
33.4338333,3.21
31.65271041,3.5
35.835,2.64
31.6119509,2.5
31.68008664,3
40.3263333,2.66
31.93084717,2.7
38.1816,2.8
